siClasificacion,siSubClasificacion,iIdProducto,vCodigo,iNombre,iCaracteristica,iMarca,vModelo,siUnidadCompra,siUnidadConsumo,dStock,dCantidadMinima,dFechacreacion,dFechaUltimoMovimiento,bEstado,bEsdeConteo
1,3,1,01.003.0001,4,301,109,,1,1,NULL,2.00,2006-05-22 19:22:00,NULL,1,1
1,1,2,01.001.0001,130,338,72,,1,1,NULL,2.00,2006-05-22 19:23:00,NULL,0,0
1,1,3,01.001.0002,105,373,7,,1,1,NULL,2.00,2006-05-22 19:24:00,NULL,0,0
1,3,36,01.003.0034,115,364,13,,10,10,NULL,12.00,2006-05-22 20:08:00,NULL,1,0
1,3,37,01.003.0035,118,50,95,,1,1,NULL,1.00,2006-05-22 20:09:00,NULL,0,1
1,3,38,01.003.0036,118,77,1,,1,1,NULL,2.00,2006-05-22 20:10:00,NULL,1,1
1,3,39,01.003.0037,132,349,46,,1,1,NULL,1.00,2006-05-22 20:10:00,NULL,1,0
1,3,40,01.003.0038,132,350,77,,1,1,NULL,1.00,2006-05-22 20:11:00,NULL,1,0
1,3,41,01.003.0039,133,105,109,,1,1,NULL,2.00,2006-05-22 20:12:00,NULL,1,1
1,3,42,01.003.0040,135,91,109,,1,1,NULL,1.00,2006-05-22 20:12:00,NULL,1,1
1,3,43,01.003.0041,138,432,23,,1,1,NULL,1.00,2006-05-22 20:13:00,NULL,1,1
1,3,44,01.003.0042,138,433,23,,1,1,NULL,1.00,2006-05-22 20:14:00,NULL,1,1
1,3,45,01.003.0043,139,75,53,,1,1,NULL,2.00,2006-05-22 20:15:00,NULL,1,1
1,3,46,01.003.0044,139,552,23,,16,16,NULL,1.00,2006-05-22 20:15:00,NULL,1,1
1,3,47,01.003.0045,139,107,23,,1,1,NULL,10.00,2006-05-22 20:16:00,NULL,1,0
1,3,48,01.003.0046,139,108,23,,1,1,NULL,10.00,2006-05-22 20:17:00,NULL,1,0
1,3,49,01.003.0047,139,109,23,,1,1,NULL,10.00,2006-05-22 20:17:00,NULL,1,0
1,3,50,01.003.0048,139,110,23,,1,1,NULL,10.00,2006-05-22 20:18:00,NULL,1,0
1,3,51,01.003.0049,139,111,23,,1,1,NULL,10.00,2006-05-22 20:18:00,NULL,1,0
1,3,52,01.003.0050,139,112,23,,1,1,NULL,10.00,2006-05-22 20:18:00,NULL,1,0
1,3,53,01.003.0051,139,113,23,,1,1,NULL,10.00,2006-06-01 09:58:00,NULL,1,0
1,3,54,01.003.0052,139,114,23,,1,1,NULL,10.00,2006-06-01 10:01:00,NULL,1,0
1,3,55,01.003.0053,139,115,23,,16,16,NULL,2.00,2006-06-01 10:02:00,NULL,1,0
1,3,56,01.003.0054,139,116,1,,1,1,NULL,1.00,2006-06-01 10:02:00,NULL,1,1
1,3,57,01.003.0055,139,117,1,,1,1,NULL,1.00,2006-06-01 10:03:00,NULL,1,1
1,3,58,01.003.0056,139,118,1,,1,1,NULL,1.00,2006-06-01 10:04:00,NULL,1,1
1,3,59,01.003.0057,139,119,1,,1,1,NULL,1.00,2006-06-01 10:06:00,NULL,1,1
1,3,60,01.003.0058,139,120,1,,1,1,NULL,1.00,2006-06-01 10:07:00,NULL,1,1
1,3,61,01.003.0059,139,121,1,,1,1,NULL,1.00,2006-06-01 10:07:00,NULL,1,1
1,3,62,01.003.0060,139,122,1,,1,1,NULL,1.00,2006-06-01 10:08:00,NULL,1,1
1,3,63,01.003.0061,139,123,1,,1,1,NULL,1.00,2006-06-01 10:08:00,NULL,1,1
1,3,64,01.003.0062,139,124,1,,1,1,NULL,1.00,2006-06-01 10:09:00,NULL,1,1
1,3,65,01.003.0063,139,125,1,,1,1,NULL,1.00,2006-06-01 10:10:00,NULL,1,1
1,3,66,01.003.0064,139,126,109,,1,1,NULL,1.00,2006-06-01 10:11:00,NULL,1,1
1,3,67,01.003.0065,139,127,109,,1,1,NULL,2.00,2006-06-01 10:12:00,NULL,1,1
1,3,68,01.003.0066,139,128,109,,1,1,NULL,2.00,2006-06-01 10:12:00,NULL,1,1
1,3,69,01.003.0067,139,129,109,,1,1,NULL,2.00,2006-06-01 10:13:00,NULL,1,1
1,3,70,01.003.0068,139,130,109,,1,1,NULL,2.00,2006-06-01 10:14:00,NULL,1,1
1,3,71,01.003.0069,139,131,109,,1,1,NULL,2.00,2006-06-01 10:15:00,NULL,1,1
1,3,72,01.003.0070,139,132,109,,1,1,NULL,2.00,2006-06-01 10:15:00,NULL,1,1
1,3,73,01.003.0071,139,133,109,,1,1,NULL,2.00,2006-06-01 10:16:00,NULL,1,1
1,3,74,01.003.0072,139,134,109,,1,1,NULL,2.00,2006-06-01 10:17:00,NULL,1,1
1,3,75,01.003.0073,139,159,109,,1,1,NULL,2.00,2006-06-01 10:17:00,NULL,1,1
1,3,76,01.003.0074,140,169,91,,1,1,NULL,1.00,2006-06-01 10:18:00,NULL,1,0
1,3,77,01.003.0075,144,163,109,,1,1,NULL,2.00,2006-06-01 10:19:00,NULL,1,1
1,3,78,01.003.0076,145,168,1,,1,1,NULL,2.00,2006-06-01 10:20:00,NULL,1,1
1,3,79,01.003.0077,150,85,84,,13,13,NULL,1.00,2006-06-01 10:21:00,NULL,1,0
1,3,80,01.003.0078,150,86,310,,10,10,NULL,1.00,2006-06-01 10:22:00,NULL,1,0
1,5,81,01.005.0001,56,327,80,,1,1,NULL,2.00,2006-06-01 10:25:00,NULL,1,1
1,5,82,01.005.0002,119,352,30,,1,1,NULL,2.00,2006-06-01 10:26:00,NULL,1,0
1,5,83,01.005.0003,24,45,68,,1,1,NULL,2.00,2006-06-01 10:27:00,NULL,1,0
1,5,84,01.005.0004,97,80,85,,1,1,NULL,2.00,2006-06-01 10:28:00,NULL,1,1
1,5,85,01.005.0005,82,330,30,,1,1,NULL,2.00,2006-06-01 10:29:00,NULL,1,1
1,5,86,01.005.0006,106,184,121,,1,1,NULL,3.00,2006-06-01 10:29:00,NULL,1,0
1,5,87,01.005.0007,63,87,21,,1,1,NULL,2.00,2006-06-01 10:30:00,NULL,1,0
1,5,88,01.005.0008,96,363,110,,1,1,NULL,1.00,2006-06-01 10:31:00,NULL,1,1
1,5,89,01.005.0009,97,303,79,,1,1,NULL,2.00,2006-06-01 10:32:00,NULL,1,1
1,5,90,01.005.0010,80,44,35,,1,1,NULL,2.00,2006-06-01 10:33:00,NULL,1,1
1,5,91,01.005.0011,10,309,6,,10,10,NULL,2.00,2006-06-01 10:33:00,NULL,1,0
