codigo_producto,iid_clasificacion,iid_subclasificacion,iid_nombre,iid_caracteristica,iid_marca,modelo,unidad_compra,unidad_consumo,stock,cantidad_minima,fecha_creacion,fecha_ultimo_movimiento,estado,es_de_conteo
01.003.0001,,3,4,301,109,,1,1,,2.00,2006-05-22 19:22:00,,1,1
01.001.0001,,1,130,338,72,,1,1,,2.00,2006-05-22 19:23:00,,0,0
01.001.0002,,1,105,373,7,,1,1,,2.00,2006-05-22 19:24:00,,0,0
01.003.0034,,3,115,364,13,,10,10,,12.00,2006-05-22 20:08:00,,1,0
01.003.0035,,3,118,50,95,,1,1,,1.00,2006-05-22 20:09:00,,0,1
01.003.0036,,3,118,77,1,,1,1,,2.00,2006-05-22 20:10:00,,1,1
01.003.0037,,3,132,349,46,,1,1,,1.00,2006-05-22 20:10:00,,1,0
01.003.0038,,3,132,350,77,,1,1,,1.00,2006-05-22 20:11:00,,1,0
01.003.0039,,3,133,105,109,,1,1,,2.00,2006-05-22 20:12:00,,1,1
01.003.0040,,3,135,91,109,,1,1,,1.00,2006-05-22 20:12:00,,1,1
01.003.0041,,3,138,432,23,,1,1,,1.00,2006-05-22 20:13:00,,1,1
01.003.0042,,3,138,433,23,,1,1,,1.00,2006-05-22 20:14:00,,1,1
01.003.0043,,3,139,75,53,,1,1,,2.00,2006-05-22 20:15:00,,1,1
01.003.0044,,3,139,552,23,,16,16,,1.00,2006-05-22 20:15:00,,1,1
01.003.0045,,3,139,107,23,,1,1,,10.00,2006-05-22 20:16:00,,1,0
01.003.0046,,3,139,108,23,,1,1,,10.00,2006-05-22 20:17:00,,1,0
01.003.0047,,3,139,109,23,,1,1,,10.00,2006-05-22 20:17:00,,1,0
01.003.0048,,3,139,110,23,,1,1,,10.00,2006-05-22 20:18:00,,1,0
01.003.0049,,3,139,111,23,,1,1,,10.00,2006-05-22 20:18:00,,1,0
01.003.0050,,3,139,112,23,,1,1,,10.00,2006-05-22 20:18:00,,1,0
01.003.0051,,3,139,113,23,,1,1,,10.00,2006-06-01 09:58:00,,1,0
01.003.0052,,3,139,114,23,,1,1,,10.00,2006-06-01 10:01:00,,1,0
01.003.0053,,3,139,115,23,,16,16,,2.00,2006-06-01 10:02:00,,1,0
01.003.0054,,3,139,116,1,,1,1,,1.00,2006-06-01 10:02:00,,1,1
01.003.0055,,3,139,117,1,,1,1,,1.00,2006-06-01 10:03:00,,1,1
01.003.0056,,3,139,118,1,,1,1,,1.00,2006-06-01 10:04:00,,1,1
01.003.0057,,3,139,119,1,,1,1,,1.00,2006-06-01 10:06:00,,1,1
01.003.0058,,3,139,120,1,,1,1,,1.00,2006-06-01 10:07:00,,1,1
01.003.0059,,3,139,121,1,,1,1,,1.00,2006-06-01 10:07:00,,1,1
01.003.0060,,3,139,122,1,,1,1,,1.00,2006-06-01 10:08:00,,1,1
01.003.0061,,3,139,123,1,,1,1,,1.00,2006-06-01 10:08:00,,1,1
01.003.0062,,3,139,124,1,,1,1,,1.00,2006-06-01 10:09:00,,1,1
01.003.0063,,3,139,125,1,,1,1,,1.00,2006-06-01 10:10:00,,1,1
01.003.0064,,3,139,126,109,,1,1,,1.00,2006-06-01 10:11:00,,1,1
01.003.0065,,3,139,127,109,,1,1,,2.00,2006-06-01 10:12:00,,1,1
01.003.0066,,3,139,128,109,,1,1,,2.00,2006-06-01 10:12:00,,1,1
01.003.0067,,3,139,129,109,,1,1,,2.00,2006-06-01 10:13:00,,1,1
01.003.0068,,3,139,130,109,,1,1,,2.00,2006-06-01 10:14:00,,1,1
01.003.0069,,3,139,131,109,,1,1,,2.00,2006-06-01 10:15:00,,1,1
01.003.0070,,3,139,132,109,,1,1,,2.00,2006-06-01 10:15:00,,1,1
01.003.0071,,3,139,133,109,,1,1,,2.00,2006-06-01 10:16:00,,1,1
01.003.0072,,3,139,134,109,,1,1,,2.00,2006-06-01 10:17:00,,1,1
01.003.0073,,3,139,159,109,,1,1,,2.00,2006-06-01 10:17:00,,1,1
01.003.0074,,3,140,169,91,,1,1,,1.00,2006-06-01 10:18:00,,1,0
01.003.0075,,3,144,163,109,,1,1,,2.00,2006-06-01 10:19:00,,1,1
01.003.0076,,3,145,168,1,,1,1,,2.00,2006-06-01 10:20:00,,1,1
01.003.0077,,3,150,85,84,,13,13,,1.00,2006-06-01 10:21:00,,1,0
01.003.0078,,3,150,86,310,,10,10,,1.00,2006-06-01 10:22:00,,1,0
01.005.0001,,5,56,327,80,,1,1,,2.00,2006-06-01 10:25:00,,1,1
01.005.0002,,5,119,352,30,,1,1,,2.00,2006-06-01 10:26:00,,1,0
01.005.0003,,5,24,45,68,,1,1,,2.00,2006-06-01 10:27:00,,1,0
01.005.0004,,5,97,80,85,,1,1,,2.00,2006-06-01 10:28:00,,1,1
01.005.0005,,5,82,330,30,,1,1,,2.00,2006-06-01 10:29:00,,1,1
01.005.0006,,5,106,184,121,,1,1,,3.00,2006-06-01 10:29:00,,1,0
01.005.0007,,5,63,87,21,,1,1,,2.00,2006-06-01 10:30:00,,1,0
01.005.0008,,5,96,363,110,,1,1,,1.00,2006-06-01 10:31:00,,1,1
01.005.0009,,5,97,303,79,,1,1,,2.00,2006-06-01 10:32:00,,1,1
01.005.0010,,5,80,44,35,,1,1,,2.00,2006-06-01 10:33:00,,1,1
01.005.0011,,5,10,309,6,,10,10,,2.00,2006-06-01 10:33:00,,1,0
01.005.0012,,5,10,308,71,,10,10,,2.00,2006-06-01 10:34:00,,1,0
01.005.0013,,5,137,339,40,,1,1,,5.00,2006-06-01 10:35:00,,1,0
01.005.0014,,5,29,185,90,,1,1,,1.00,2006-06-01 10:36:00,,1,1
01.005.0015,,5,110,81,357,,1,1,,50.00,2006-06-01 10:37:00,,1,0
01.005.0016,,5,94,104,48,,1,1,,10.00,2006-06-01 10:38:00,,1,0
01.005.0017,,5,94,103,302,,1,1,,10.00,2006-06-01 10:39:00,,1,0
01.005.0018,,5,15,369,99,,1,1,,1.00,2006-06-01 10:40:00,,1,0
01.005.0019,,5,12,176,64,,1,1,,2.00,2006-06-01 10:41:00,,1,1
01.005.0020,,5,12,179,308,,1,1,,1.00,2006-06-01 10:42:00,,1,1
01.005.0021,,5,12,178,47,,1,1,,1.00,2006-06-01 10:43:00,,1,1
01.005.0022,,5,14,295,93,,1,1,,1.00,2006-06-01 10:44:00,,1,1
01.005.0023,,5,90,488,40,,8,8,,10.00,2006-06-01 10:45:00,,1,1
01.005.0024,,5,66,299,101,,1,1,,10.00,2006-06-01 10:46:00,,1,0
01.005.0025,,5,66,300,101,,1,1,,10.00,2006-06-01 10:46:00,,1,0
01.005.0026,,5,62,90,101,,1,1,,10.00,2006-06-01 10:47:00,,1,0
01.005.0027,,5,81,140,39,,1,1,,2.00,2006-06-01 10:48:00,,1,1
01.005.0028,,5,81,140,101,,1,1,,2.00,2006-06-01 10:48:00,,1,1
01.005.0029,,5,50,1,41,,1,1,,10.00,2006-06-01 10:49:00,,1,1
01.005.0030,,5,50,370,41,,1,1,,10.00,2006-06-01 10:50:00,,1,1
01.005.0031,,5,76,100,152,,1,1,,10.00,2006-06-01 10:50:00,,1,0
01.005.0032,,5,76,489,69,,1,1,,2.00,2006-06-01 10:51:00,,1,0
01.005.0033,,5,99,148,57,,1,1,,10.00,2006-06-01 10:51:00,,1,0
01.005.0034,,5,87,88,18,,1,1,,1.00,2006-06-01 10:52:00,,1,0
01.005.0035,,5,3,315,40,,1,1,,5.00,2006-06-01 10:53:00,,1,0
01.005.0036,,5,3,316,40,,1,1,,5.00,2006-06-01 10:54:00,,1,0
01.005.0037,,5,3,318,40,,1,1,,5.00,2006-06-01 10:54:00,,1,0
01.005.0038,,5,29,490,34,,1,1,,2.00,2006-06-01 10:55:00,,1,1
01.005.0039,,5,12,177,47,,1,1,,1.00,2006-06-01 10:56:00,,1,1
01.005.0040,,5,29,227,34,,1,1,,2.00,2006-06-01 10:57:00,,1,1
01.005.0041,,5,3,317,40,,1,1,,5.00,2006-06-01 10:57:00,,1,0
01.005.0042,,5,3,314,40,,1,1,,5.00,2006-06-01 10:58:00,,1,0
01.005.0043,,5,3,319,40,,1,1,,5.00,2006-06-01 10:59:00,,1,0
01.005.0044,,5,89,312,103,,1,1,,2.00,2006-06-01 10:59:00,,1,0
01.005.0045,,5,34,339,40,,1,1,,5.00,2006-06-01 11:00:00,,1,0
01.005.0046,,5,63,355,40,,1,1,,2.00,2006-06-01 11:01:00,,1,0
01.005.0047,,5,127,354,40,,1,1,,2.00,2006-06-01 11:02:00,,1,0
01.005.0048,,5,125,357,40,,1,1,,2.00,2006-06-01 11:03:00,,1,0
01.005.0049,,5,125,356,40,,1,1,,2.00,2006-06-01 11:04:00,,1,0
01.005.0050,,5,125,357,58,,1,1,,2.00,2006-06-01 11:05:00,,1,0
01.005.0051,,5,120,353,22,,1,1,,1.00,2006-06-01 11:05:00,,1,0
01.005.0052,,5,72,302,40,,1,1,,1.00,2006-06-01 11:06:00,,1,0
01.005.0053,,5,72,305,40,,1,1,,1.00,2006-06-01 11:07:00,,1,0
01.005.0054,,5,72,304,40,,1,1,,1.00,2006-06-01 11:08:00,,1,0
01.005.0055,,5,22,491,1,,1,1,,2.00,2006-06-01 11:08:00,,1,0
01.005.0056,,5,21,492,1,,10,10,,2.00,2006-06-01 11:09:00,,1,0
01.005.0057,,5,131,332,23,,1,1,,10.00,2006-06-01 11:10:00,,1,0
01.005.0058,,5,50,51,40,,1,1,,1.00,2006-06-01 11:10:00,,1,1
01.005.0059,,5,92,144,40,,1,1,,1.00,2006-06-01 11:11:00,,1,0
01.005.0060,,5,155,97,1,,1,1,,1.00,2006-06-01 11:11:00,,1,0
01.005.0061,,5,23,398,101,,1,1,,2.00,2006-06-01 11:12:00,,1,1
01.005.0062,,5,23,142,429,,1,1,,2.00,2006-06-01 11:13:00,,1,1
01.005.0063,,5,94,261,75,,1,1,,2.00,2006-06-01 11:13:00,,1,0
01.005.0064,,5,94,260,75,,1,1,,10.00,2006-06-01 11:14:00,,1,0
01.005.0065,,5,94,259,75,,1,1,,100.00,2006-06-01 11:15:00,,1,0
01.005.0066,,5,21,372,95,,1,1,,10.00,2006-06-01 11:16:00,,1,0
01.003.0002,,3,8,348,109,,1,1,,2.00,2006-05-22 19:25:00,,1,1
01.003.0003,,3,5,141,102,,1,1,,2.00,2006-05-22 19:27:00,,1,0
01.003.0004,,3,7,347,109,,1,1,,2.00,2006-05-22 19:28:00,,0,0
01.003.0005,,3,8,351,23,,1,1,,2.00,2006-05-22 19:30:00,,1,1
01.003.0006,,3,17,322,100,,1,1,,2.00,2006-05-22 19:31:00,,1,0
01.003.0007,,3,19,49,8,,1,1,,10.00,2006-05-22 19:32:00,,0,0
01.003.0008,,3,19,49,15,,10,10,,1.00,2006-05-22 19:33:00,,0,0
01.003.0009,,3,25,358,40,,1,1,,1.00,2006-05-22 19:33:00,,1,0
01.003.0010,,3,25,359,40,,1,1,,1.00,2006-05-22 19:34:00,,1,0
01.003.0011,,3,32,161,17,,1,1,,1.00,2006-05-22 19:35:00,,1,1
01.003.0012,,3,35,135,23,,1,1,,1.00,2006-05-22 19:35:00,,1,1
01.003.0013,,3,36,241,5,,1,1,,2.00,2006-05-22 19:36:00,,1,1
01.003.0014,,3,245,242,30,,1,1,,2.00,2006-05-22 19:37:00,,1,1
01.003.0015,,3,45,150,37,,1,1,,2.00,2006-05-22 19:37:00,,1,1
01.003.0016,,3,45,152,37,,1,1,,2.00,2006-05-22 19:43:00,,1,1
01.003.0017,,3,45,320,1,,1,1,,2.00,2006-05-22 19:44:00,,1,1
01.003.0018,,3,45,321,1,,1,1,,2.00,2006-05-22 19:44:00,,1,1
01.003.0019,,3,45,345,5,,1,1,,2.00,2006-05-22 19:46:00,,1,1
01.003.0020,,3,45,346,5,,1,1,,2.00,2006-05-22 19:46:00,,1,1
01.003.0021,,3,45,434,145,,16,16,,1.00,2006-05-22 19:49:00,,1,1
01.003.0022,,3,46,147,23,,1,1,,2.00,2006-05-22 19:51:00,,1,1
01.003.0023,,3,46,151,1,,1,1,,1.00,2006-05-22 19:52:00,,1,1
01.003.0024,,3,46,344,1,,1,1,,1.00,2006-05-22 19:53:00,,1,1
01.003.0025,,3,47,53,23,,1,1,,1.00,2006-05-22 19:54:00,,1,1
01.003.0026,,3,68,98,95,,1,1,,1.00,2006-05-22 19:57:00,,1,0
